FTY_ID_NO;RIN_FTY_ID_NO;REG_NO;TRS_NO;sales_check_number;TRS_DT;LN_ITM_TRS_TYP_CD;DIV_OGP_NO;PRD_ITM_NO;MSC_ACN_NO;POS_SLS_TRS_AM;TOT_LN_MD_AM;SLL_ASC_ID_NO;fty_sbt_cd;TRS_DT_1;TRS_TM;LSE_APP_ID;LSE_AM;LSE_ADD_DWN_PMT_AM;LSE_FST_PMT_AM
0001778;0001778;901;8758;017789018758;2018/11/19 00:00:00.000;S;022;81873;000000;473.99;0.0;1172;O ;2018/11/19 00:00:00.000;1970/01/01 11:27:57.000;FD2W4MV  ;1173.98;0.0;120.0
0001778;0001778;901;8758;017789018758;2018/11/19 00:00:00.000;S;046;71215;000000;699.99;0.0;1172;O ;2018/11/19 00:00:00.000;1970/01/01 11:27:57.000;FD2W4MV  ;1173.98;0.0;120.0
0001796;0001796;902;777;01796902777 ;2018/11/19 00:00:00.000;S;000;0    ;116000;85.0;0.0;1099;O ;2018/11/19 00:00:00.000;1970/01/01 18:48:37.000;FKYHXQD  ;1417.98;0.0;120.0
0001796;0001796;902;777;01796902777 ;2018/11/19 00:00:00.000;S;000;0    ;116005;15.0;0.0;1099;O ;2018/11/19 00:00:00.000;1970/01/01 18:48:37.000;FKYHXQD  ;1417.98;0.0;120.0
0001796;0001796;902;777;01796902777 ;2018/11/19 00:00:00.000;S;046;33000;000000;17.99;0.0;1099;O ;2018/11/19 00:00:00.000;1970/01/01 18:48:37.000;FKYHXQD  ;1417.98;0.0;120.0
0001796;0001796;902;777;01796902777 ;2018/11/19 00:00:00.000;S;046;79312;000000;1299.99;0.0;1099;O ;2018/11/19 00:00:00.000;1970/01/01 18:48:37.000;FKYHXQD  ;1417.98;0.0;120.0
0001796;0009300;320;7351;017963207351;2018/11/19 00:00:00.000;S;009;50168;000000;189.99;0.0;75;O ;2018/11/19 00:00:00.000;1970/01/01 00:00:01.000;FTY4RH4  ;189.99;0.0;0.0
0001829;0001829;901;7195;018299017195;2018/11/19 00:00:00.000;S;022;87933;000000;477.0;0.0;1115;O ;2018/11/19 00:00:00.000;1970/01/01 10:42:15.000;TJW92K4  ;477.0;0.0;60.0
0001832;0001832;901;6377;018329016377;2018/11/19 00:00:00.000;S;026;17025;000000;10.99;0.0;141;O ;2018/11/19 00:00:00.000;1970/01/01 11:01:06.000;9P7488P  ;2010.97;0.0;60.0
0001832;0001832;901;6377;018329016377;2018/11/19 00:00:00.000;S;026;41682;000000;949.99;0.0;141;O ;2018/11/19 00:00:00.000;1970/01/01 11:01:06.000;9P7488P  ;2010.97;0.0;60.0
0001832;0001832;901;6377;018329016377;2018/11/19 00:00:00.000;S;026;91582;000000;1049.99;0.0;141;O ;2018/11/19 00:00:00.000;1970/01/01 11:01:06.000;9P7488P  ;2010.97;0.0;60.0
0001845;0001845;901;764;01845901764 ;2018/11/19 00:00:00.000;S;022;94193;000000;649.99;0.0;1040;O ;2018/11/19 00:00:00.000;1970/01/01 18:10:01.000;J2F4XK2  ;649.99;0.0;60.0
0001848;0001848;902;6166;018489026166;2018/11/19 00:00:00.000;S;022;49698;000000;27.99;0.0;7641;O ;2018/11/19 00:00:00.000;1970/01/01 14:42:31.000;W8WMD8H  ;1867.95;80.0;120.0
0001848;0001848;902;6166;018489026166;2018/11/19 00:00:00.000;S;022;64937;000000;597.0;0.0;7641;O ;2018/11/19 00:00:00.000;1970/01/01 14:42:31.000;W8WMD8H  ;1867.95;80.0;120.0
0001848;0001848;902;6166;018489026166;2018/11/19 00:00:00.000;S;026;17013;000000;35.99;0.0;7641;O ;2018/11/19 00:00:00.000;1970/01/01 14:42:31.000;W8WMD8H  ;1867.95;80.0;120.0
0001848;0001848;902;6166;018489026166;2018/11/19 00:00:00.000;S;026;41262;000000;569.0;0.0;7641;O ;2018/11/19 00:00:00.000;1970/01/01 14:42:31.000;W8WMD8H  ;1867.95;80.0;120.0
0001848;0001848;902;6166;018489026166;2018/11/19 00:00:00.000;S;026;49915;000000;49.98;0.0;7641;O ;2018/11/19 00:00:00.000;1970/01/01 14:42:31.000;W8WMD8H  ;1867.95;80.0;120.0
0001848;0001848;902;6166;018489026166;2018/11/19 00:00:00.000;S;026;59025;000000;18.99;0.0;7641;O ;2018/11/19 00:00:00.000;1970/01/01 14:42:31.000;W8WMD8H  ;1867.95;80.0;120.0
0001848;0001848;902;6166;018489026166;2018/11/19 00:00:00.000;S;026;81182;000000;569.0;0.0;7641;O ;2018/11/19 00:00:00.000;1970/01/01 14:42:31.000;W8WMD8H  ;1867.95;80.0;120.0
0001916;0001916;107;6480;019161076480;2018/11/19 00:00:00.000;S;046;88693;000000;799.93;0.0;72363;L ;2018/11/19 00:00:00.000;1970/01/01 15:06:23.000;29HXBFT  ;799.93;0.0;120.0
0001932;0001932;902;429;01932902429 ;2018/11/19 00:00:00.000;S;000;0    ;116000;100.0;0.0;133;O ;2018/11/19 00:00:00.000;1970/01/01 18:33:46.000;KWYDJQB  ;3139.05;1600.0;120.0
0001932;0001932;902;429;01932902429 ;2018/11/19 00:00:00.000;S;046;7283 ;000000;3039.05;0.0;133;O ;2018/11/19 00:00:00.000;1970/01/01 18:33:46.000;KWYDJQB  ;3139.05;1600.0;120.0
0001938;0001938;903;5383;019389035383;2018/11/19 00:00:00.000;S;000;0    ;116000;89.99;0.0;80929;O ;2018/11/19 00:00:00.000;1970/01/01 15:13:07.000;FCMHF42  ;1100.96;0.0;60.0
0001938;0001938;903;5383;019389035383;2018/11/19 00:00:00.000;S;046;49599;000000;10.98;0.0;80929;O ;2018/11/19 00:00:00.000;1970/01/01 15:13:07.000;FCMHF42  ;1100.96;0.0;60.0
0001938;0001938;903;5383;019389035383;2018/11/19 00:00:00.000;S;046;51339;000000;999.99;0.0;80929;O ;2018/11/19 00:00:00.000;1970/01/01 15:13:07.000;FCMHF42  ;1100.96;0.0;60.0
